device_knumber,predicate_knumber,tier
K190474,K160605,SECTION_HEADED
K190474,K170455,SECTION_HEADED
K190474,K181970,SECTION_HEADED
K190545,K172480,SECTION_HEADED
K190652,K141577,SECTION_HEADED
K190652,K181180,SECTION_HEADED
K190684,K133455,SECTION_HEADED
K190684,K170395,SECTION_HEADED
K190774,K130814,SECTION_HEADED
K190889,K150283,SECTION_HEADED
K190890,K101336,PROXIMITY_ONLY
K190890,K103233,SECTION_HEADED
K190890,K150522,SECTION_HEADED
K190890,K173583,SECTION_HEADED
K190890,K182502,SECTION_HEADED
K190892,K063588,SECTION_HEADED
K191057,K171808,SECTION_HEADED
K191057,K190391,SECTION_HEADED
K191146,K150488,SECTION_HEADED
K191146,K152431,SECTION_HEADED
K191146,K162455,SECTION_HEADED
K191146,K163669,SECTION_HEADED
K191241,K981423,SECTION_HEADED
K191242,K032167,SECTION_HEADED
K191242,K182941,SECTION_HEADED
K191243,K170318,SECTION_HEADED
K191358,K143085,SECTION_HEADED
K191358,K983382,SECTION_HEADED
K191391,K163361,SECTION_HEADED
K191477,K111362,SECTION_HEADED
K191569,K163577,SECTION_HEADED
K191569,K181778,SECTION_HEADED
K191641,K050932,SECTION_HEADED
K191698,K123814,SECTION_HEADED
K191698,K152431,SECTION_HEADED
K191698,K163669,SECTION_HEADED
K191709,K080108,SECTION_HEADED
K191709,K103433,SECTION_HEADED
K191782,K040212,SECTION_HEADED
K191782,K102413,SECTION_HEADED
K191782,K120419,SECTION_HEADED
K191782,K190365,SECTION_HEADED
K191995,K153575,SECTION_HEADED
K191995,K160617,SECTION_HEADED
K192097,K042021,SECTION_HEADED
K192097,K140063,SECTION_HEADED
K192097,K143552,SECTION_HEADED
K192208,K180071,SECTION_HEADED
K192297,K042355,SECTION_HEADED
K192297,K051567,SECTION_HEADED
K192297,K142906,SECTION_HEADED
K192365,K121220,SECTION_HEADED
K192592,K140792,SECTION_HEADED
K192592,K180808,SECTION_HEADED
K192683,K181761,SECTION_HEADED
K192855,K122698,SECTION_HEADED
K192946,K093736,PROXIMITY_ONLY
K193030,K131884,SECTION_HEADED
K193129,K161369,SECTION_HEADED
K193211,K191822,SECTION_HEADED
K193247,K053189,SECTION_HEADED
K193247,K070787,SECTION_HEADED
K193295,K120942,SECTION_HEADED
K193295,K170327,SECTION_HEADED
K193295,K170877,SECTION_HEADED
K193308,K003018,SECTION_HEADED
K193394,K062250,SECTION_HEADED
K193394,K150488,SECTION_HEADED
K193394,K162455,SECTION_HEADED
K193394,K163669,SECTION_HEADED
K193394,K192206,SECTION_HEADED
K193423,K172480,SECTION_HEADED
K200007,K190123,SECTION_HEADED
K200007,K191632,SECTION_HEADED
K200011,K083116,SECTION_HEADED
K200011,K171181,SECTION_HEADED
K200011,K892398,SECTION_HEADED
K200127,K150463,SECTION_HEADED
K200127,K150471,SECTION_HEADED
K200235,K172480,SECTION_HEADED
K200235,K190545,SECTION_HEADED
K200316,K163595,SECTION_HEADED
K200316,K173782,SECTION_HEADED
K200316,K182158,SECTION_HEADED
K200361,K162805,SECTION_HEADED
K200752,K051123,SECTION_HEADED
K200846,K111362,SECTION_HEADED
K200854,K103233,SECTION_HEADED
K200854,K181744,SECTION_HEADED
K200949,K170639,SECTION_HEADED
