device_knumber,predicate_knumber,tier,zone,zone_heading
K213591,K202496,SECTION_HEADED,compat,fixation appliance and accessories (primary)
K221844,K171808,SECTION_HEADED,reference,Reference Devices:
K221844,K190830,SECTION_HEADED,reference,Reference Devices:
K241000,K212746,PROXIMITY_ONLY,reference,Reference Devices:
K241000,K230295,PROXIMITY_ONLY,reference,Reference Devices:
K241000,K232303,PROXIMITY_ONLY,reference,Reference Devices:
K241000,K233980,PROXIMITY_ONLY,reference,Reference Devices:
